"Lokalitet";"habitat";"ano_flate_id";"ano_punkt_id";"combi";"Lat";"lon";"method";"sample";"sampling_scheme";"extraction_method";"sample_weight";"seq_depth";"variable";"species";"value"
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"marinøkkel_botrychium_lunaria";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"bladfaks_bromopsis_inermis";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"skogrørkvein_calamagrostis_phragmitoides";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"røsslyng_calluna_vulgaris";42.66180492
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"blåklokke_campanula_rotundifolia";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"gjetertaske_capsella_bursa.pastoris";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"krusetistelslekta_carduus_sp.";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"starrslekta_carex_sp";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"engknoppurt_centaurea_jacea";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"snauarve_cerastium_alpinum";0
